データフロー名,エンティティ名,開始時刻,終了時刻,状態,upsert 数,挿入回数,エラー数,状態の詳細
法人番号全国,,2024/9/26 午後0:28:10,2024/9/26 午後2:42:19,Failed,,,,データフローの更新が完了しましたが、一部の行で upsert に失敗しました。エラーを確認し、データフローを編集して問題を解決してから、もう一度お試しください。(要求 ID: edc00c92-fa3a-4d96-b5f4-c9bdb017dc94)。
法人番号全国,00_zenkoku_all_20240731_0,2024/9/26 午後0:28:22,2024/9/26 午後2:41:59,失敗,0,2504359,2791,




テーブル名,行 ID,要求 URL,エラーの詳細
00_zenkoku_all_20240731_0,f7701e0b-b9d4-4897-8d68-4269e1a7702f,"https://org74476df7.crm7.dynamics.com/api/data/v9.1/cr8ce_00_zenkoku_all_20240731s{
  ""cr8ce_column1"": ""3002249"",
  ""cr8ce_column2"": ""9220005004263"",
  ""cr8ce_column3"": ""71"",
  ""cr8ce_column4"": ""1"",
  ""cr8ce_column5"": ""2021-03-01"",
  ""cr8ce_column6"": ""2017-01-30"",
  ""cr8ce_column7"": ""白山神社"",
  ""cr8ce_column8"": null,
  ""cr8ce_column9"": ""399"",
  ""cr8ce_column10"": ""石川県"",
  ""cr8ce_column11"": ""加賀市"",
  ""cr8ce_column12"": ""山中温泉白山町リ２５番地"",
  ""cr8ce_column13"": null,
  ""cr8ce_column14"": ""17"",
  ""cr8ce_column15"": ""206"",
  ""cr8ce_column16"": ""9220116"",
  ""cr8ce_column17"": null,
  ""cr8ce_column18"": null,
  ""cr8ce_column19"": null,
  ""cr8ce_column20"": null,
  ""cr8ce_column21"": null,
  ""cr8ce_column22"": ""石川県加賀市山中温泉薬師町ハ８０番地菅原神社（5220005004259）を合併石川県加賀市山中温泉真砂町戊５７番地真砂神社（3220005004277）を合併石川県加賀市山中温泉西住町ハ４２番地宮谷社（1220005004279）を合併"",
  ""cr8ce_column23"": ""2015-10-05"",
  ""cr8ce_column24"": ""1"",
  ""cr8ce_column25"": null,
  ""cr8ce_column26"": null,
  ""cr8ce_column27"": null,
  ""cr8ce_column28"": null,
  ""cr8ce_column29"": ""ハクサンジンジャ"",
  ""cr8ce_column30"": ""0""
}","{""message"":""A validation error occurred.  The length of the 'cr8ce_column22' attribute of the 'cr8ce_00_zenkoku_all_20240731' entity exceeded the maximum allowed length of '100'."",""cdsErrorCode"":""0x80044331"",""HelpLink"":""http://go.microsoft.com/fwlink/?LinkID=398563&error=Microsoft.Crm.CrmException%3a80044331&client=platform"",""InnerErrorMessage"":""A validation error occurred.  The length of the 'cr8ce_column22' attribute of the 'cr8ce_00_zenkoku_all_20240731' entity exceeded the maximum allowed length of '100'."",""cdsRequestId"":""ac54defd-5358-4a2e-867e-e8138d2a73e0"",""cdsRequestUtcTime"":""9/26/2024 3:29:53 AM""}"
00_zenkoku_all_20240731_0,27d57273-8940-4174-aba4-3b884602109e,"https://org74476df7.crm7.dynamics.com/api/data/v9.1/cr8ce_00_zenkoku_all_20240731s{
  ""cr8ce_column1"": ""3005753"",
  ""cr8ce_column2"": ""1210005006961"",
  ""cr8ce_column3"": ""21"",
  ""cr8ce_column4"": ""0"",
  ""cr8ce_column5"": ""2021-06-04"",
  ""cr8ce_column6"": ""2021-04-14"",
  ""cr8ce_column7"": ""丹生郡森林組合"",
  ""cr8ce_column8"": null,
  ""cr8ce_column9"": ""399"",
  ""cr8ce_column10"": ""福井県"",
  ""cr8ce_column11"": ""丹生郡越前町"",
  ""cr8ce_column12"": ""織田第１０８号３４番地１"",
  ""cr8ce_column13"": null,
  ""cr8ce_column14"": ""18"",
  ""cr8ce_column15"": ""423"",
  ""cr8ce_column16"": ""9160215"",
  ""cr8ce_column17"": null,
  ""cr8ce_column18"": null,
  ""cr8ce_column19"": ""2021-04-14"",
  ""cr8ce_column20"": ""11"",
  ""cr8ce_column21"": ""6210005009951"",
  ""cr8ce_column22"": ""令和３年４月１４日福井県越前市粟田部町第１１号１７番地南越森林組合（4210005006959）と福井県今立郡池田町寺島第３３号４番地１池田町森林組合（2210005006960）と福井県越前市高瀬一丁目１４番２３号武生森林組合（6210005006957）と合併して福井県越前市高瀬一丁目１４番２３号越前福井森林組合（6210005009951）を設立し解散"",
  ""cr8ce_column23"": ""2015-10-05"",
  ""cr8ce_column24"": ""1"",
  ""cr8ce_column25"": null,
  ""cr8ce_column26"": null,
  ""cr8ce_column27"": null,
  ""cr8ce_column28"": null,
  ""cr8ce_column29"": ""ニュウグン"",
  ""cr8ce_column30"": ""0""
}","{""message"":""A validation error occurred.  The length of the 'cr8ce_column22' attribute of the 'cr8ce_00_zenkoku_all_20240731' entity exceeded the maximum allowed length of '100'."",""cdsErrorCode"":""0x80044331"",""HelpLink"":""http://go.microsoft.com/fwlink/?LinkID=398563&error=Microsoft.Crm.CrmException%3a80044331&client=platform"",""InnerErrorMessage"":""A validation error occurred.  The length of the 'cr8ce_column22' attribute of the 'cr8ce_00_zenkoku_all_20240731' entity exceeded the maximum allowed length of '100'."",""cdsRequestId"":""510c4d01-5f98-462e-800e-78be1564381d"",""cdsRequestUtcTime"":""9/26/2024 3:30:13 AM""}"
00_zenkoku_all_20240731_0,07424297-6785-4979-975c-6af9743f4175,"https://org74476df7.crm7.dynamics.com/api/data/v9.1/cr8ce_00_zenkoku_all_20240731s{
  ""cr8ce_column1"": ""3006768"",
  ""cr8ce_column2"": ""2210001010594"",
  ""cr8ce_column3"": ""71"",
  ""cr8ce_column4"": ""0"",
  ""cr8ce_column5"": ""2019-01-24"",
  ""cr8ce_column6"": ""2019-01-15"",
  ""cr8ce_column7"": ""株式会社ジャクエツ"",
  ""cr8ce_column8"": null,
  ""cr8ce_column9"": ""301"",
  ""cr8ce_column10"": ""福井県"",
  ""cr8ce_column11"": ""敦賀市"",
  ""cr8ce_column12"": ""若葉町２丁目１７７０番地"",
  ""cr8ce_column13"": null,
  ""cr8ce_column14"": ""18"",
  ""cr8ce_column15"": ""202"",
  ""cr8ce_column16"": ""9140125"",
  ""cr8ce_column17"": null,
  ""cr8ce_column18"": null,
  ""cr8ce_column19"": null,
  ""cr8ce_column20"": null,
  ""cr8ce_column21"": null,
  ""cr8ce_column22"": ""平成３１年１月１日福井県敦賀市若葉町二丁目１７７０番地株式会社ジャクエツ保育事業（8210001010597）を合併平成３１年１月１日福井県敦賀市若葉町二丁目１７７０番地株式会社ジャクエツキャラ（9210001010596）を合併"",
  ""cr8ce_column23"": ""2015-10-05"",
  ""cr8ce_column24"": ""1"",
  ""cr8ce_column25"": null,
  ""cr8ce_column26"": null,
  ""cr8ce_column27"": null,
  ""cr8ce_column28"": null,
  ""cr8ce_column29"": ""ジャクエツ"",
  ""cr8ce_column30"": ""0""
}","{""message"":""A validation error occurred.  The length of the 'cr8ce_column22' attribute of the 'cr8ce_00_zenkoku_all_20240731' entity exceeded the maximum allowed length of '100'."",""cdsErrorCode"":""0x80044331"",""HelpLink"":""http://go.microsoft.com/fwlink/?LinkID=398563&error=Microsoft.Crm.CrmException%3a80044331&client=platform"",""InnerErrorMessage"":""A validation error occurred.  The length of the 'cr8ce_column22' attribute of the 'cr8ce_00_zenkoku_all_20240731' entity exceeded the maximum allowed length of '100'."",""cdsRequestId"":""0cea8bce-c468-47bf-9efe-c3169c61d48f"",""cdsRequestUtcTime"":""9/26/2024 3:30:19 AM""}"
00_zenkoku_all_20240731_0,22ca0200-a3e7-4af9-a6f4-6ca82f5757e4,"https://org74476df7.crm7.dynamics.com/api/data/v9.1/cr8ce_00_zenkoku_all_20240731s{
  ""cr8ce_column1"": ""3009127"",
  ""cr8ce_column2"": ""2210005006960"",
  ""cr8ce_column3"": ""21"",
  ""cr8ce_column4"": ""0"",
  ""cr8ce_column5"": ""2021-06-04"",
  ""cr8ce_column6"": ""2021-04-14"",
  ""cr8ce_column7"": ""池田町森林組合"",
  ""cr8ce_column8"": null,
  ""cr8ce_column9"": ""399"",
  ""cr8ce_column10"": ""福井県"",
  ""cr8ce_column11"": ""今立郡池田町"",
  ""cr8ce_column12"": ""寺島第３３号４番地１"",
  ""cr8ce_column13"": null,
  ""cr8ce_column14"": ""18"",
  ""cr8ce_column15"": ""382"",
  ""cr8ce_column16"": ""9102513"",
  ""cr8ce_column17"": null,
  ""cr8ce_column18"": null,
  ""cr8ce_column19"": ""2021-04-14"",
  ""cr8ce_column20"": ""11"",
  ""cr8ce_column21"": ""6210005009951"",
  ""cr8ce_column22"": ""令和３年４月１４日福井県丹生郡越前町織田第１０８号３４番地１丹生郡森林組合（1210005006961）と福井県越前市粟田部町第１１号１７番地南越森林組合（4210005006959）と福井県越前市高瀬一丁目１４番２３号武生森林組合（6210005006957）と合併して福井県越前市高瀬一丁目１４番２３号越前福井森林組合（6210005009951）を設立し解散"",
  ""cr8ce_column23"": ""2015-10-05"",
  ""cr8ce_column24"": ""1"",
  ""cr8ce_column25"": null,
  ""cr8ce_column26"": null,
  ""cr8ce_column27"": null,
  ""cr8ce_column28"": null,
  ""cr8ce_column29"": ""イケダチョウ"",
  ""cr8ce_column30"": ""0""
}","{""message"":""A validation error occurred.  The length of the 'cr8ce_column22' attribute of the 'cr8ce_00_zenkoku_all_20240731' entity exceeded the maximum allowed length of '100'."",""cdsErrorCode"":""0x80044331"",""HelpLink"":""http://go.microsoft.com/fwlink/?LinkID=398563&error=Microsoft.Crm.CrmException%3a80044331&client=platform"",""InnerErrorMessage"":""A validation error occurred.  The length of the 'cr8ce_column22' attribute of the 'cr8ce_00_zenkoku_all_20240731' entity exceeded the maximum allowed length of '100'."",""cdsRequestId"":""7bc235d9-8bb6-4c23-848f-54e5481b7d6d"",""cdsRequestUtcTime"":""9/26/2024 3:30:29 AM""}"
00_zenkoku_all_20240731_0,114aa7ba-a243-4bc2-94b0-eb0847d1a6e4,"https://org74476df7.crm7.dynamics.com/api/data/v9.1/cr8ce_00_zenkoku_all_20240731s{
  ""cr8ce_column1"": ""3012064"",
  ""cr8ce_column2"": ""3210005000038"",
  ""cr8ce_column3"": ""21"",
  ""cr8ce_column4"": ""0"",
  ""cr8ce_column5"": ""2022-05-19"",
  ""cr8ce_column6"": ""2022-04-08"",
  ""cr8ce_column7"": ""一般社団法人福井県配合飼料価格安定基金協会"",
  ""cr8ce_column8"": null,
  ""cr8ce_column9"": ""399"",
  ""cr8ce_column10"": ""福井県"",
  ""cr8ce_column11"": ""福井市"",
  ""cr8ce_column12"": ""花堂中２丁目１７番３号"",
  ""cr8ce_column13"": null,
  ""cr8ce_column14"": ""18"",
  ""cr8ce_column15"": ""201"",
  ""cr8ce_column16"": ""9188014"",
  ""cr8ce_column17"": null,
  ""cr8ce_column18"": null,
  ""cr8ce_column19"": ""2022-04-08"",
  ""cr8ce_column20"": ""11"",
  ""cr8ce_column21"": ""6220005008655"",
  ""cr8ce_column22"": ""令和４年４月１日石川県金沢市古府一丁目１９７番地一般社団法人石川県配合飼料価格安定基金協会（2220005000095）、富山市手屋三丁目１０番１５号一般社団法人富山県配合飼料価格安定基金協会（2230005000053）と合併して石川県金沢市古府一丁目１９７番地一般社団法人北陸配合飼料価格安定基金協会（6220005008655）を設立し解散"",
  ""cr8ce_column23"": ""2015-10-05"",
  ""cr8ce_column24"": ""1"",
  ""cr8ce_column25"": null,
  ""cr8ce_column26"": null,
  ""cr8ce_column27"": null,
  ""cr8ce_column28"": null,
  ""cr8ce_column29"": ""フクイケンハイゴウシリョウカカクアンテイキキンキョウカイ"",
  ""cr8ce_column30"": ""0""
}","{""message"":""A validation error occurred.  The length of the 'cr8ce_column22' attribute of the 'cr8ce_00_zenkoku_all_20240731' entity exceeded the maximum allowed length of '100'."",""cdsErrorCode"":""0x80044331"",""HelpLink"":""http://go.microsoft.com/fwlink/?LinkID=398563&error=Microsoft.Crm.CrmException%3a80044331&client=platform"",""InnerErrorMessage"":""A validation error occurred.  The length of the 'cr8ce_column22' attribute of the 'cr8ce_00_zenkoku_all_20240731' entity exceeded the maximum allowed length of '100'."",""cdsRequestId"":""b1874708-1b0a-4209-b654-ba70e0bf8083"",""cdsRequestUtcTime"":""9/26/2024 3:30:41 AM""}"
00_zenkoku_all_20240731_0,cddc5959-8287-4566-8277-51021ddd53f4,"https://org74476df7.crm7.dynamics.com/api/data/v9.1/cr8ce_00_zenkoku_all_20240731s{
  ""cr8ce_column1"": ""3013803"",
  ""cr8ce_column2"": ""4210001013827"",
  ""cr8ce_column3"": ""71"",
  ""cr8ce_column4"": ""0"",
  ""cr8ce_column5"": ""2024-05-01"",
  ""cr8ce_column6"": ""2024-04-01"",
  ""cr8ce_column7"": ""株式会社アートテクノロジー"",
  ""cr8ce_column8"": null,
  ""cr8ce_column9"": ""301"",
  ""cr8ce_column10"": ""福井県"",
  ""cr8ce_column11"": ""鯖江市"",
  ""cr8ce_column12"": ""上河端町第６号１番地３３"",
  ""cr8ce_column13"": null,
  ""cr8ce_column14"": ""18"",
  ""cr8ce_column15"": ""207"",
  ""cr8ce_column16"": ""9160037"",
  ""cr8ce_column17"": null,
  ""cr8ce_column18"": null,
  ""cr8ce_column19"": null,
  ""cr8ce_column20"": null,
  ""cr8ce_column21"": null,
  ""cr8ce_column22"": ""令和６年４月１日福井市下馬二丁目４０５番地株式会社アートソフトウェア（7210001010375）を合併令和６年４月１日石川県金沢市示野中町一丁目１８０番地株式会社アートソリューション（6220001001424）を合併令和６年４月１日東京都港区芝二丁目３番９号株式会社クリエイト工房（8010401052152）を合併"",
  ""cr8ce_column23"": ""2015-10-05"",
  ""cr8ce_column24"": ""1"",
  ""cr8ce_column25"": null,
  ""cr8ce_column26"": null,
  ""cr8ce_column27"": null,
  ""cr8ce_column28"": null,
  ""cr8ce_column29"": ""アートテクノロジー"",
  ""cr8ce_column30"": ""0""
}","{""message"":""A validation error occurred.  The length of the 'cr8ce_column22' attribute of the 'cr8ce_00_zenkoku_all_20240731' entity exceeded the maximum allowed length of '100'."",""cdsErrorCode"":""0x80044331"",""HelpLink"":""http://go.microsoft.com/fwlink/?LinkID=398563&error=Microsoft.Crm.CrmException%3a80044331&client=platform"",""InnerErrorMessage"":""A validation error occurred.  The length of the 'cr8ce_column22' attribute of the 'cr8ce_00_zenkoku_all_20240731' entity exceeded the maximum allowed length of '100'."",""cdsRequestId"":""6aab38dd-fc9b-44b6-9200-76a9d73751eb"",""cdsRequestUtcTime"":""9/26/2024 3:30:49 AM""}"
00_zenkoku_all_20240731_0,047e2477-9568-4c5b-a3f0-6c312a564e85,"https://org74476df7.crm7.dynamics.com/api/data/v9.1/cr8ce_00_zenkoku_all_20240731s{
  ""cr8ce_column1"": ""3015882"",
  ""cr8ce_column2"": ""4210005006959"",
  ""cr8ce_column3"": ""21"",
  ""cr8ce_column4"": ""0"",
  ""cr8ce_column5"": ""2021-06-04"",
  ""cr8ce_column6"": ""2021-04-14"",
  ""cr8ce_column7"": ""南越森林組合"",
  ""cr8ce_column8"": null,
  ""cr8ce_column9"": ""399"",
  ""cr8ce_column10"": ""福井県"",
  ""cr8ce_column11"": ""越前市"",
  ""cr8ce_column12"": ""粟田部町第１１号１７番地"",
  ""cr8ce_column13"": null,
  ""cr8ce_column14"": ""18"",
  ""cr8ce_column15"": ""209"",
  ""cr8ce_column16"": ""9150242"",
  ""cr8ce_column17"": null,
  ""cr8ce_column18"": null,
  ""cr8ce_column19"": ""2021-04-14"",
  ""cr8ce_column20"": ""11"",
  ""cr8ce_column21"": ""6210005009951"",
  ""cr8ce_column22"": ""令和３年４月１４日福井県丹生郡越前町織田第１０８号３４番地１丹生郡森林組合（1210005006961）と福井県今立郡池田町寺島第３３号４番地１池田町森林組合（2210005006960）と福井県越前市高瀬一丁目１４番２３号武生森林組合（6210005006957）と合併して福井県越前市高瀬一丁目１４番２３号越前福井森林組合（6210005009951）を設立し解散"",
  ""cr8ce_column23"": ""2015-10-05"",
  ""cr8ce_column24"": ""1"",
  ""cr8ce_column25"": null,
  ""cr8ce_column26"": null,
  ""cr8ce_column27"": null,
  ""cr8ce_column28"": null,
  ""cr8ce_column29"": ""ナンエツ"",
  ""cr8ce_column30"": ""0""
}","{""message"":""A validation error occurred.  The length of the 'cr8ce_column22' attribute of the 'cr8ce_00_zenkoku_all_20240731' entity exceeded the maximum allowed length of '100'."",""cdsErrorCode"":""0x80044331"",""HelpLink"":""http://go.microsoft.com/fwlink/?LinkID=398563&error=Microsoft.Crm.CrmException%3a80044331&client=platform"",""InnerErrorMessage"":""A validation error occurred.  The length of the 'cr8ce_column22' attribute of the 'cr8ce_00_zenkoku_all_20240731' entity exceeded the maximum allowed length of '100'."",""cdsRequestId"":""1bcc8432-367f-4536-9f83-0d05d8163523"",""cdsRequestUtcTime"":""9/26/2024 3:30:56 AM""}"
00_zenkoku_all_20240731_0,568a68ed-a9a6-4f62-8b9a-b90098c48526,"https://org74476df7.crm7.dynamics.com/api/data/v9.1/cr8ce_00_zenkoku_all_20240731s{
  ""cr8ce_column1"": ""3016309"",
  ""cr8ce_column2"": ""5210001000733"",
  ""cr8ce_column3"": ""71"",
  ""cr8ce_column4"": ""1"",
  ""cr8ce_column5"": ""2018-10-04"",
  ""cr8ce_column6"": ""2016-07-14"",
  ""cr8ce_column7"": ""株式会社カズマ"",
  ""cr8ce_column8"": null,
  ""cr8ce_column9"": ""301"",
  ""cr8ce_column10"": ""福井県"",
  ""cr8ce_column11"": ""福井市"",
  ""cr8ce_column12"": ""八重巻町１０５番地"",
  ""cr8ce_column13"": null,
  ""cr8ce_column14"": ""18"",
  ""cr8ce_column15"": ""201"",
  ""cr8ce_column16"": ""9100123"",
  ""cr8ce_column17"": null,
  ""cr8ce_column18"": null,
  ""cr8ce_column19"": null,
  ""cr8ce_column20"": null,
  ""cr8ce_column21"": null,
  ""cr8ce_column22"": ""平成２８年７月１日福井市八重巻町１０５番地株式会社ループ（4210001000734）を合併平成２８年７月１日福井市鮎川町第９４号１３番地株式会社カズマテキスタイル（1210001008937）を合併平成２８年７月１日福井市八重巻町１２３番地株式会社ウェーブ（8210001000499）を合併"",
  ""cr8ce_column23"": ""2015-10-05"",
  ""cr8ce_column24"": ""1"",
  ""cr8ce_column25"": null,
  ""cr8ce_column26"": null,
  ""cr8ce_column27"": null,
  ""cr8ce_column28"": null,
  ""cr8ce_column29"": ""カズマ"",
  ""cr8ce_column30"": ""0""
}","{""message"":""A validation error occurred.  The length of the 'cr8ce_column22' attribute of the 'cr8ce_00_zenkoku_all_20240731' entity exceeded the maximum allowed length of '100'."",""cdsErrorCode"":""0x80044331"",""HelpLink"":""http://go.microsoft.com/fwlink/?LinkID=398563&error=Microsoft.Crm.CrmException%3a80044331&client=platform"",""InnerErrorMessage"":""A validation error occurred.  The length of the 'cr8ce_column22' attribute of the 'cr8ce_00_zenkoku_all_20240731' entity exceeded the maximum allowed length of '100'."",""cdsRequestId"":""62ac5a57-6406-4dd6-81c8-dcc7a98ac336"",""cdsRequestUtcTime"":""9/26/2024 3:30:58 AM""}"
00_zenkoku_all_20240731_0,8f2c54f2-593f-434d-a8fc-6104b4c2dacc,"https://org74476df7.crm7.dynamics.com/api/data/v9.1/cr8ce_00_zenkoku_all_20240731s{
  ""cr8ce_column1"": ""3021692"",
  ""cr8ce_column2"": ""6210002010796"",
  ""cr8ce_column3"": ""71"",
  ""cr8ce_column4"": ""0"",
  ""cr8ce_column5"": ""2016-11-16"",
  ""cr8ce_column6"": ""2016-11-01"",
  ""cr8ce_column7"": ""株式会社安兵衛食品"",
  ""cr8ce_column8"": null,
  ""cr8ce_column9"": ""301"",
  ""cr8ce_column10"": ""福井県"",
  ""cr8ce_column11"": ""敦賀市"",
  ""cr8ce_column12"": ""莇生野８０－１４－１１"",
  ""cr8ce_column13"": null,
  ""cr8ce_column14"": ""18"",
  ""cr8ce_column15"": ""202"",
  ""cr8ce_column16"": ""9140141"",
  ""cr8ce_column17"": null,
  ""cr8ce_column18"": null,
  ""cr8ce_column19"": null,
  ""cr8ce_column20"": null,
  ""cr8ce_column21"": null,
  ""cr8ce_column22"": ""平成２８年１１月１日福井県敦賀市莇生野８０－１４－１１株式会社安兵衛食品（7210001011324）を合併平成２８年１１月１日福井県敦賀市藤ケ丘町３番地の２有限会社和信企画（7210002010853）を合併"",
  ""cr8ce_column23"": ""2015-10-05"",
  ""cr8ce_column24"": ""1"",
  ""cr8ce_column25"": null,
  ""cr8ce_column26"": null,
  ""cr8ce_column27"": null,
  ""cr8ce_column28"": null,
  ""cr8ce_column29"": null,
  ""cr8ce_column30"": ""0""
}","{""message"":""A validation error occurred.  The length of the 'cr8ce_column22' attribute of the 'cr8ce_00_zenkoku_all_20240731' entity exceeded the maximum allowed length of '100'."",""cdsErrorCode"":""0x80044331"",""HelpLink"":""http://go.microsoft.com/fwlink/?LinkID=398563&error=Microsoft.Crm.CrmException%3a80044331&client=platform"",""InnerErrorMessage"":""A validation error occurred.  The length of the 'cr8ce_column22' attribute of the 'cr8ce_00_zenkoku_all_20240731' entity exceeded the maximum allowed length of '100'."",""cdsRequestId"":""db6a96c5-3eec-4cff-bc77-d6005021585b"",""cdsRequestUtcTime"":""9/26/2024 3:31:17 AM""}"
00_zenkoku_all_20240731_0,12b45581-4e0f-48ae-9f1e-ebe9e869372a,"https://org74476df7.crm7.dynamics.com/api/data/v9.1/cr8ce_00_zenkoku_all_20240731s{
  ""cr8ce_column1"": ""3022609"",
  ""cr8ce_column2"": ""6210005006957"",
  ""cr8ce_column3"": ""21"",
  ""cr8ce_column4"": ""0"",
  ""cr8ce_column5"": ""2021-06-04"",
  ""cr8ce_column6"": ""2021-04-14"",
  ""cr8ce_column7"": ""武生森林組合"",
  ""cr8ce_column8"": null,
  ""cr8ce_column9"": ""399"",
  ""cr8ce_column10"": ""福井県"",
  ""cr8ce_column11"": ""越前市"",
  ""cr8ce_column12"": ""高瀬１丁目１４番２３号"",
  ""cr8ce_column13"": null,
  ""cr8ce_column14"": ""18"",
  ""cr8ce_column15"": ""209"",
  ""cr8ce_column16"": ""9150832"",
  ""cr8ce_column17"": null,
  ""cr8ce_column18"": null,
  ""cr8ce_column19"": ""2021-04-14"",
  ""cr8ce_column20"": ""11"",
  ""cr8ce_column21"": ""6210005009951"",
  ""cr8ce_column22"": ""令和３年４月１４日福井県丹生郡越前町織田第１０８号３４番地１丹生郡森林組合（1210005006961）と福井県越前市粟田部町第１１号１７番地南越森林組合（4210005006959）と福井県今立郡池田町寺島第３３号４番地１池田町森林組合（2210005006960）と合併して福井県越前市高瀬一丁目１４番２３号越前福井森林組合（6210005009951）を設立し解散"",
  ""cr8ce_column23"": ""2015-10-05"",
  ""cr8ce_column24"": ""1"",
  ""cr8ce_column25"": null,
  ""cr8ce_column26"": null,
  ""cr8ce_column27"": null,
  ""cr8ce_column28"": null,
  ""cr8ce_column29"": ""タケフ"",
  ""cr8ce_column30"": ""0""
}","{""message"":""A validation error occurred.  The length of the 'cr8ce_column22' attribute of the 'cr8ce_00_zenkoku_all_20240731' entity exceeded the maximum allowed length of '100'."",""cdsErrorCode"":""0x80044331"",""HelpLink"":""http://go.microsoft.com/fwlink/?LinkID=398563&error=Microsoft.Crm.CrmException%3a80044331&client=platform"",""InnerErrorMessage"":""A validation error occurred.  The length of the 'cr8ce_column22' attribute of the 'cr8ce_00_zenkoku_all_20240731' entity exceeded the maximum allowed length of '100'."",""cdsRequestId"":""030af454-e382-4282-8ca8-3168f5a6152b"",""cdsRequestUtcTime"":""9/26/2024 3:31:21 AM""}"
